"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","0.2929","0.3031","0.3046","0.2850","115.95M","-3.37%"
"10/30/2023","0.3031","0.2958","0.3031","0.2922","88.75M","2.61%"
"10/29/2023","0.2954","0.2909","0.2986","0.2887","45.37M","1.44%"
"10/28/2023","0.2912","0.2894","0.2974","0.2887","43.19M","0.62%"
"10/27/2023","0.2894","0.2870","0.2923","0.2808","59.01M","0.77%"
"10/26/2023","0.2872","0.2808","0.2972","0.2801","126.37M","2.28%"
"10/25/2023","0.2808","0.2793","0.2898","0.2764","100.70M","0.61%"
"10/24/2023","0.2791","0.2812","0.2938","0.2744","171.21M","-0.50%"
"10/23/2023","0.2805","0.2643","0.2809","0.2618","137.95M","6.29%"
"10/22/2023","0.2639","0.2585","0.2643","0.2563","59.08M","2.05%"
"10/21/2023","0.2586","0.2512","0.2626","0.2495","74.67M","2.95%"
"10/20/2023","0.2512","0.2470","0.2529","0.2454","69.08M","1.70%"
"10/19/2023","0.2470","0.2430","0.2470","0.2401","47.54M","1.65%"
"10/18/2023","0.2430","0.2462","0.2476","0.2423","35.65M","-1.38%"
"10/17/2023","0.2464","0.2514","0.2518","0.2453","44.84M","-1.91%"
"10/16/2023","0.2512","0.2472","0.2592","0.2472","89.08M","1.58%"
"10/15/2023","0.2473","0.2469","0.2484","0.2454","23.15M","0.12%"
"10/14/2023","0.2470","0.2459","0.2478","0.2449","19.55M","0.49%"
"10/13/2023","0.2458","0.2460","0.2497","0.2449","35.52M","-0.08%"
"10/12/2023","0.2460","0.2479","0.2480","0.2429","35.00M","-0.81%"
"10/11/2023","0.2480","0.2489","0.2496","0.2452","78.59M","-0.44%"
"10/10/2023","0.2491","0.2512","0.2531","0.2469","64.34M","-0.88%"
"10/09/2023","0.2513","0.2563","0.2586","0.2490","75.52M","-1.99%"
"10/08/2023","0.2564","0.2584","0.2591","0.2553","26.67M","-0.89%"
"10/07/2023","0.2587","0.2646","0.2657","0.2567","52.03M","-2.23%"
"10/06/2023","0.2646","0.2604","0.2669","0.2604","43.66M","1.69%"
"10/05/2023","0.2602","0.2588","0.2639","0.2566","49.55M","0.50%"
"10/04/2023","0.2589","0.2610","0.2612","0.2540","63.94M","-0.80%"
"10/03/2023","0.2610","0.2591","0.2645","0.2575","58.47M","0.73%"
"10/02/2023","0.2591","0.2659","0.2695","0.2579","91.53M","-2.52%"
"10/01/2023","0.2658","0.2541","0.2677","0.2537","78.81M","4.69%"
"09/30/2023","0.2539","0.2494","0.2548","0.2490","41.55M","1.80%"
"09/29/2023","0.2494","0.2490","0.2559","0.2476","88.50M","0.24%"
"09/28/2023","0.2488","0.2447","0.2508","0.2433","49.63M","1.72%"
"09/27/2023","0.2446","0.2452","0.2481","0.2427","39.10M","-0.37%"
"09/26/2023","0.2455","0.2462","0.2478","0.2434","28.35M","-0.16%"
"09/25/2023","0.2459","0.2423","0.2461","0.2415","39.26M","1.28%"
"09/24/2023","0.2428","0.2461","0.2462","0.2419","27.55M","-1.34%"
"09/23/2023","0.2461","0.2449","0.2468","0.2437","25.62M","0.49%"
"09/22/2023","0.2449","0.2447","0.2464","0.2427","73.95M","-0.04%"
"09/21/2023","0.2450","0.2517","0.2531","0.2449","58.35M","-2.66%"
"09/20/2023","0.2517","0.2548","0.2564","0.2502","53.15M","-1.22%"
"09/19/2023","0.2548","0.2514","0.2575","0.2509","52.99M","1.31%"
"09/18/2023","0.2515","0.2470","0.2558","0.2445","71.75M","1.78%"
"09/17/2023","0.2471","0.2503","0.2512","0.2445","42.17M","-1.28%"
"09/16/2023","0.2503","0.2509","0.2538","0.2484","34.83M","-0.12%"
"09/15/2023","0.2506","0.2513","0.2548","0.2452","68.76M","-0.28%"
"09/14/2023","0.2513","0.2487","0.2524","0.2465","49.31M","1.09%"
"09/13/2023","0.2486","0.2455","0.2498","0.2435","42.10M","1.30%"
"09/12/2023","0.2454","0.2421","0.2518","0.2409","55.94M","1.36%"
"09/11/2023","0.2421","0.2490","0.2496","0.2369","74.43M","-2.77%"
"09/10/2023","0.2490","0.2531","0.2532","0.2448","82.45M","-1.70%"
"09/09/2023","0.2533","0.2543","0.2558","0.2532","18.12M","-0.43%"
"09/08/2023","0.2544","0.2581","0.2594","0.2528","54.71M","-1.40%"
"09/07/2023","0.2580","0.2576","0.2593","0.2531","64.00M","0.12%"
"09/06/2023","0.2577","0.2579","0.2605","0.2529","57.66M","-0.04%"
"09/05/2023","0.2578","0.2561","0.2587","0.2541","40.89M","0.66%"
"09/04/2023","0.2561","0.2559","0.2598","0.2538","40.64M","0.12%"
"09/03/2023","0.2558","0.2561","0.2567","0.2532","33.03M","-0.16%"
"09/02/2023","0.2562","0.2550","0.2573","0.2536","21.90M","0.43%"
"09/01/2023","0.2551","0.2552","0.2588","0.2523","62.61M","-0.12%"
"08/31/2023","0.2554","0.2652","0.2665","0.2506","92.97M","-3.77%"
"08/30/2023","0.2654","0.2727","0.2727","0.2607","102.32M","-2.64%"
"08/29/2023","0.2726","0.2681","0.2795","0.2602","147.98M","1.87%"
"08/28/2023","0.2676","0.2634","0.2678","0.2584","54.93M","1.59%"
"08/27/2023","0.2634","0.2608","0.2653","0.2600","49.90M","0.92%"
"08/26/2023","0.2610","0.2611","0.2618","0.2582","47.23M","-0.08%"
"08/25/2023","0.2612","0.2656","0.2706","0.2592","113.32M","-1.73%"
"08/24/2023","0.2658","0.2683","0.2713","0.2623","49.73M","-0.86%"
"08/23/2023","0.2681","0.2587","0.2698","0.2580","69.99M","3.71%"
"08/22/2023","0.2585","0.2628","0.2632","0.2504","81.22M","-1.64%"
"08/21/2023","0.2628","0.2706","0.2723","0.2604","60.00M","-2.81%"
"08/20/2023","0.2704","0.2688","0.2728","0.2648","40.50M","0.63%"
"08/19/2023","0.2687","0.2636","0.2696","0.2605","55.27M","1.82%"
"08/18/2023","0.2639","0.2550","0.2673","0.2550","127.22M","3.41%"
"08/17/2023","0.2552","0.2745","0.2783","0.2400","183.03M","-7.13%"
"08/16/2023","0.2748","0.2817","0.2829","0.2669","112.07M","-2.62%"
"08/15/2023","0.2822","0.2904","0.2910","0.2773","68.13M","-2.89%"
"08/14/2023","0.2906","0.2893","0.2927","0.2874","39.96M","0.35%"
"08/13/2023","0.2896","0.2920","0.2935","0.2874","49.74M","-0.79%"
"08/12/2023","0.2919","0.2933","0.2946","0.2908","35.78M","-0.48%"
"08/11/2023","0.2933","0.2964","0.2975","0.2924","30.37M","-1.08%"
"08/10/2023","0.2965","0.3014","0.3016","0.2960","50.34M","-1.63%"
"08/09/2023","0.3014","0.2975","0.3022","0.2960","55.73M","1.31%"
"08/08/2023","0.2975","0.2909","0.3024","0.2897","97.88M","2.23%"
"08/07/2023","0.2910","0.2923","0.2959","0.2834","69.23M","-0.44%"
"08/06/2023","0.2923","0.2938","0.2958","0.2907","28.15M","-0.54%"
"08/05/2023","0.2939","0.2935","0.2941","0.2903","29.96M","0.14%"
"08/04/2023","0.2935","0.2927","0.2971","0.2908","51.44M","0.34%"
"08/03/2023","0.2925","0.2992","0.3014","0.2903","99.56M","-2.30%"
"08/02/2023","0.2994","0.3106","0.3120","0.2983","68.92M","-3.51%"
"08/01/2023","0.3103","0.3069","0.3104","0.2977","87.82M","1.07%"
"07/31/2023","0.3070","0.3153","0.3185","0.3064","70.51M","-2.79%"
"07/30/2023","0.3158","0.3132","0.3180","0.3056","60.46M","0.93%"
"07/29/2023","0.3129","0.3098","0.3144","0.3088","58.06M","0.97%"
"07/28/2023","0.3099","0.3077","0.3130","0.3063","46.59M","0.71%"
"07/27/2023","0.3077","0.3068","0.3132","0.3056","58.42M","0.26%"
"07/26/2023","0.3069","0.3037","0.3106","0.3005","90.83M","1.09%"
"07/25/2023","0.3036","0.3050","0.3077","0.3016","61.99M","-0.56%"
"07/24/2023","0.3053","0.3172","0.3189","0.3006","100.25M","-3.69%"
"07/23/2023","0.3170","0.3099","0.3188","0.3077","50.44M","2.26%"
"07/22/2023","0.3100","0.3127","0.3149","0.3065","58.50M","-0.86%"
"07/21/2023","0.3127","0.3158","0.3183","0.3106","70.37M","-1.08%"
"07/20/2023","0.3161","0.3231","0.3322","0.3136","166.94M","-2.01%"
"07/19/2023","0.3226","0.3090","0.3259","0.3070","215.83M","4.30%"
"07/18/2023","0.3093","0.3119","0.3140","0.3002","151.20M","-0.80%"
"07/17/2023","0.3118","0.3141","0.3196","0.3058","121.47M","-0.86%"
"07/16/2023","0.3145","0.3261","0.3276","0.3125","132.93M","-3.56%"
"07/15/2023","0.3261","0.3275","0.3375","0.3244","87.49M","-0.52%"
"07/14/2023","0.3278","0.3574","0.3778","0.3177","345.20M","-8.02%"
"07/13/2023","0.3564","0.2888","0.3637","0.2858","508.58M","23.32%"
"07/12/2023","0.2890","0.2930","0.2953","0.2854","77.93M","-1.26%"
"07/11/2023","0.2927","0.2881","0.2938","0.2874","98.57M","1.70%"
"07/10/2023","0.2878","0.2844","0.2925","0.2787","122.17M","1.16%"
"07/09/2023","0.2845","0.2908","0.2915","0.2832","94.87M","-2.13%"
"07/08/2023","0.2907","0.2847","0.2928","0.2818","106.20M","2.18%"
"07/07/2023","0.2845","0.2789","0.2853","0.2767","100.39M","2.01%"
"07/06/2023","0.2789","0.2841","0.2935","0.2766","144.51M","-1.83%"
"07/05/2023","0.2841","0.2924","0.2962","0.2801","106.28M","-2.81%"
"07/04/2023","0.2923","0.2967","0.3013","0.2902","107.49M","-1.48%"
"07/03/2023","0.2967","0.2916","0.2993","0.2904","71.59M","1.71%"
"07/02/2023","0.2917","0.2923","0.2933","0.2864","74.77M","-0.24%"
"07/01/2023","0.2924","0.2873","0.2933","0.2821","88.20M","1.92%"
"06/30/2023","0.2869","0.2755","0.2987","0.2718","272.18M","4.29%"
"06/29/2023","0.2751","0.2669","0.2780","0.2665","88.01M","3.15%"
"06/28/2023","0.2667","0.2869","0.2869","0.2627","140.74M","-6.94%"
"06/27/2023","0.2866","0.2806","0.2894","0.2787","84.31M","2.17%"
"06/26/2023","0.2805","0.2919","0.2922","0.2774","92.20M","-3.94%"
"06/25/2023","0.2920","0.2895","0.3048","0.2885","103.17M","0.90%"
"06/24/2023","0.2894","0.2964","0.2974","0.2848","88.33M","-2.33%"
"06/23/2023","0.2963","0.2898","0.3022","0.2870","117.19M","2.17%"
"06/22/2023","0.2900","0.2862","0.3048","0.2857","168.00M","1.26%"
"06/21/2023","0.2864","0.2708","0.2889","0.2688","189.55M","5.92%"
"06/20/2023","0.2704","0.2632","0.2705","0.2526","109.08M","2.66%"
"06/19/2023","0.2634","0.2605","0.2635","0.2573","70.89M","0.92%"
"06/18/2023","0.2610","0.2667","0.2690","0.2595","65.20M","-2.14%"
"06/17/2023","0.2667","0.2632","0.2734","0.2607","88.05M","1.33%"
"06/16/2023","0.2632","0.2621","0.2674","0.2548","89.42M","0.42%"
"06/15/2023","0.2621","0.2632","0.2654","0.2529","140.91M","-0.49%"
"06/14/2023","0.2634","0.2749","0.2772","0.2578","133.54M","-4.25%"
"06/13/2023","0.2751","0.2748","0.2883","0.2691","156.74M","0.18%"
"06/12/2023","0.2746","0.2719","0.2863","0.2657","222.36M","0.96%"
"06/11/2023","0.2720","0.2747","0.2796","0.2593","262.19M","-1.09%"
"06/10/2023","0.2750","0.2946","0.2948","0.2229","757.41M","-6.84%"
"06/09/2023","0.2952","0.3227","0.3237","0.2907","246.29M","-8.52%"
"06/08/2023","0.3227","0.3216","0.3304","0.3200","104.70M","0.12%"
"06/07/2023","0.3223","0.3531","0.3531","0.3180","150.73M","-8.70%"
"06/06/2023","0.3530","0.3508","0.3564","0.3373","90.67M","0.43%"
"06/05/2023","0.3515","0.3773","0.3791","0.3469","112.80M","-6.86%"
"06/04/2023","0.3774","0.3759","0.3818","0.3748","41.51M","0.40%"
"06/03/2023","0.3759","0.3782","0.3782","0.3734","27.74M","-0.58%"
"06/02/2023","0.3781","0.3644","0.3793","0.3620","71.82M","3.76%"
"06/01/2023","0.3644","0.3742","0.3755","0.3610","93.25M","-2.67%"
"05/31/2023","0.3744","0.3777","0.3807","0.3704","59.99M","-0.93%"
"05/30/2023","0.3779","0.3789","0.3833","0.3749","70.15M","-0.24%"
"05/29/2023","0.3788","0.3833","0.3862","0.3757","66.79M","-1.04%"
"05/28/2023","0.3828","0.3666","0.3838","0.3661","80.05M","4.39%"
"05/27/2023","0.3667","0.3629","0.3673","0.3614","30.14M","1.13%"
"05/26/2023","0.3626","0.3581","0.3665","0.3539","56.93M","1.26%"
"05/25/2023","0.3581","0.3641","0.3646","0.3551","50.14M","-1.59%"
"05/24/2023","0.3639","0.3702","0.3703","0.3605","57.61M","-1.75%"
"05/23/2023","0.3704","0.3679","0.3754","0.3657","47.78M","0.65%"
"05/22/2023","0.3680","0.3603","0.3741","0.3565","62.44M","2.17%"
"05/21/2023","0.3602","0.3664","0.3675","0.3575","39.30M","-1.67%"
"05/20/2023","0.3663","0.3681","0.3681","0.3638","43.99M","-0.49%"
"05/19/2023","0.3681","0.3716","0.3728","0.3662","38.74M","-0.86%"
"05/18/2023","0.3713","0.3758","0.3801","0.3661","80.43M","-1.12%"
"05/17/2023","0.3755","0.3685","0.3799","0.3647","94.40M","1.93%"
"05/16/2023","0.3684","0.3665","0.3702","0.3619","66.20M","0.35%"
"05/15/2023","0.3671","0.3711","0.3757","0.3665","69.05M","-1.05%"
"05/14/2023","0.3710","0.3646","0.3730","0.3629","41.80M","1.76%"
"05/13/2023","0.3646","0.3708","0.3710","0.3625","46.57M","-1.59%"
"05/12/2023","0.3705","0.3600","0.3707","0.3541","109.74M","3.00%"
"05/11/2023","0.3597","0.3695","0.3695","0.3496","98.45M","-2.60%"
"05/10/2023","0.3693","0.3634","0.3728","0.3546","150.97M","1.65%"
"05/09/2023","0.3633","0.3650","0.3697","0.3600","78.14M","-0.55%"
"05/08/2023","0.3653","0.3750","0.3795","0.3564","137.89M","-2.85%"
"05/07/2023","0.3760","0.3794","0.3828","0.3746","54.44M","-0.71%"
"05/06/2023","0.3787","0.3941","0.3966","0.3747","85.47M","-3.93%"
"05/05/2023","0.3942","0.3874","0.3969","0.3842","77.76M","1.78%"
"05/04/2023","0.3873","0.3941","0.3964","0.3849","57.04M","-1.68%"
"05/03/2023","0.3939","0.3918","0.3964","0.3787","102.35M","0.59%"
"05/02/2023","0.3916","0.3866","0.3947","0.3825","62.01M","1.27%"
"05/01/2023","0.3867","0.3953","0.3978","0.3807","99.09M","-2.23%"
"04/30/2023","0.3955","0.4024","0.4147","0.3951","75.61M","-1.74%"
"04/29/2023","0.4025","0.4045","0.4077","0.4002","42.38M","-0.45%"
"04/28/2023","0.4043","0.4103","0.4108","0.3981","76.49M","-1.41%"
"04/27/2023","0.4101","0.4014","0.4177","0.4010","154.25M","2.17%"
"04/26/2023","0.4014","0.3946","0.4169","0.3794","189.71M","1.75%"
"04/25/2023","0.3945","0.3836","0.3952","0.3770","97.40M","2.87%"
"04/24/2023","0.3835","0.3887","0.3970","0.3802","104.33M","-1.34%"
"04/23/2023","0.3887","0.3953","0.3955","0.3807","82.05M","-1.74%"
